Correlacao,Coef,Algoritmo,Energia(W),Desperdicio,Servidores
0.0,-0.75,VMPACS,6780.185 ± 0.000,2.720 ± 0.084,33.000 ± 0.000
0.0,-0.75,NSGA-II,6618.185 ± 0.000,2.540 ± 0.041,32.000 ± 0.000
0.25,-0.35,VMPACS,6302.364 ± 48.600,1.761 ± 0.097,30.900 ± 0.300
0.25,-0.35,NSGA-II,5994.564 ± 0.000,1.286 ± 0.098,29.000 ± 0.000
0.5,-0.07,VMPACS,6311.753 ± 0.000,1.131 ± 0.054,31.000 ± 0.000
0.5,-0.07,NSGA-II,6149.753 ± 0.000,1.234 ± 0.069,30.000 ± 0.000
0.75,0.37,VMPACS,6402.566 ± 0.000,3.492 ± 0.066,32.000 ± 0.000
0.75,0.37,NSGA-II,6240.566 ± 0.000,2.700 ± 0.042,31.000 ± 0.000
1.0,0.75,VMPACS,6117.240 ± 0.000,1.440 ± 0.048,30.000 ± 0.000
1.0,0.75,NSGA-II,6117.240 ± 0.000,1.282 ± 0.025,30.000 ± 0.000
