Correlacao,Coef,Algoritmo,Hipervolume,IGD,Tempo(s)
0.0,-0.75,VMPACS,0.400 ± 0.086,0.758 ± 0.080,1.465 ± 0.014
0.0,-0.75,NSGA-II,1.108 ± 0.070,0.093 ± 0.063,1.349 ± 0.016
0.25,-0.35,VMPACS,0.293 ± 0.083,0.779 ± 0.100,1.456 ± 0.012
0.25,-0.35,NSGA-II,1.072 ± 0.073,0.160 ± 0.049,1.329 ± 0.016
0.5,-0.07,VMPACS,0.432 ± 0.094,0.466 ± 0.093,1.452 ± 0.021
0.5,-0.07,NSGA-II,0.478 ± 0.205,0.629 ± 0.160,1.324 ± 0.014
0.75,0.37,VMPACS,0.024 ± 0.007,1.322 ± 0.044,1.458 ± 0.012
0.75,0.37,NSGA-II,1.127 ± 0.064,0.077 ± 0.060,1.391 ± 0.021
1.0,0.75,VMPACS,0.347 ± 0.201,0.785 ± 0.183,1.444 ± 0.013
1.0,0.75,NSGA-II,1.004 ± 0.104,0.187 ± 0.094,1.319 ± 0.013
